slang,formal
ga,tidak
gak,tidak
gk,tidak
engga,tidak
ngga,tidak
gaada,tidak ada
gada,tidak ada
bgt,banget
mantap,bagus
keren,bagus
bgs,bagus
jg,juga
udah,sudah
udh,sudah
blm,belum
blom,belum
knp,kenapa
trs,terus
lg,lagi
dgn,dengan
sm,sama
utk,untuk
klo,kalau
kalo,kalau
tlg,tolong
tolongin,tolong
bngt,banget
sya,saya
sy,saya
pas,saat
respon,respons
owner,pemilik
fast,cepat
respon,respons
chat,pesan
ngelag,lambat
lemot,lambat
susah,sulit
gampang,mudah
banget,sangat
trims,terima kasih
thanks,terima kasih
thx,terima kasih
apk,aplikasi
app,aplikasi
eror,error
