userName,content,score,at
Pengguna Google,bagus,5,2024-09-14 14:24:21
Pengguna Google,Bagus,5,2024-12-08 12:22:41
Pengguna Google,alhamdulilah dengan memakai aplikasi ini saya sedikit demi sedikit bisa belajar bahasa Inggris,5,2024-06-20 00:01:57
Pengguna Google,VERY HAPPYY WITH DUOO!! fun app to learn and its free but i prefer super duolingo💖💖,5,2024-06-18 15:42:35
Pengguna Google,sangat bagus untuk orang yang ingin baru blajar bahasa luar negeri. saya TDK bisa bahasa Inggris di sekolah tapi berkat apk ini bisa dikit² bahasa Inggris.,5,2024-04-20 19:54:26
Pengguna Google,luar biasa,5,2025-02-23 10:43:42
Pengguna Google,sangat bisa bantu saya untuk bisa berbahasa Inggris,5,2024-08-21 14:59:13
Pengguna Google,Apk terbaik untuk belajar bahasa asing 😁,5,2024-02-29 06:00:06
Pengguna Google,karena mengajar dengan baik,5,2025-04-27 02:56:50
Pengguna Google,ini membantu bgt buat aku karna ini tu bisa ajarin kita bahasa ap ajj,5,2024-02-16 07:46:35
Pengguna Google,bagus banget buat belajar berbagi bahas kalian pokonya wajib bngt download 🤩🤩,5,2024-08-11 23:16:44
Pengguna Google,App ini sangat bagus 😍,5,2024-08-04 01:06:09
Pengguna Google,lumayan untuk belajar dikit dikit biar tidak lupa,4,2024-02-24 00:16:22
Pengguna Google,sangat membatu belajar bahasa inggris gratis,5,2024-06-10 05:55:34
Pengguna Google,"bagus banget,, belajarnya mudah abis itu seru juga nggak ngebosenin👍",5,2024-07-05 14:48:48
Pengguna Google,waw bwgus banget aku setelah mandonglot duolingo aku aku bisa meningkatkan belajarku.👍👍👍👍👍👌,5,2025-04-11 12:30:44
Pengguna Google,bagus bisa makin lancar bahasa yang kita mau tapi iklan iklan nya ganggu,4,2024-05-15 23:59:21
Pengguna Google,ini bagus buat anak-anak dan remaja karena belajar bahasa-bahasa yang ingin mereka ketahui oh iya dan duolingo dia adalah duo dan dia baik sekali dan kadang-kadang dia suruh kita belajar terus atau kita bolos terus kadang-kadang sih,5,2025-01-26 07:58:29
Pengguna Google,"sangat bagus,saya menyukai game nya",5,2024-08-07 05:56:53
Pengguna Google,aplikasinya bagus di sini aku bisa belajar bahasa Inggris dengan cepat dan seru karna disini belajarnya seperti bermain geme,5,2024-08-05 12:56:01
Pengguna Google,best👍🏻,5,2024-03-18 17:12:10
Pengguna Google,Semangat terus Duolingo ✨👍,5,2025-02-12 09:17:49
Pengguna Google,i love this aplikasii,5,2024-03-06 11:22:23
Pengguna Google,bagus banget,5,2024-03-14 02:23:34
Pengguna Google,bagus untukmu yang mau belajar berlatih bahasa yang kamu inginkan,5,2025-04-02 03:24:13
Pengguna Google,pembelajaran lancar dan tidak ada ganguan,5,2024-03-28 04:02:36
Pengguna Google,"membantu saya menjadi bisa belajar bahasa Inggris dari nol, makasi yaa bagus banget apk ini membantu kita untuk belajar bahasa Inggris",4,2024-07-03 11:32:20
Pengguna Google,Sangat bagus untuk pemula,5,2025-01-21 12:36:01
Pengguna Google,"Sangat membantu untuk yang mau belajar bermacam-macam bahasa. Yang tadinya tidak bisa dan tidak tahu, sekarang mulai memahami",5,2024-12-30 06:45:16
Pengguna Google,seruu bgt bisa bikin cepat bisa dan gampang di mengerti aku suka sekali sama apk ini,5,2025-03-01 01:11:00
Pengguna Google,lumayan menarik belajar di duolingo,4,2024-07-03 03:31:18
Pengguna Google,aku bisa belajar bahasa Inggris,5,2024-08-13 22:51:01
Pengguna Google,bagus aku bisa bahasa luar,5,2024-04-24 08:42:55
Pengguna Google,aplikasi hebat karena tidak membuat bosan,5,2024-08-07 13:57:15
Pengguna Google,bagus,4,2025-04-20 12:56:44
Pengguna Google,"awalnya, aku merasakan ragu untuk belajar di sini,, tapi lama kelamaan aku mulai semangat dan senang belajar bahasa di Duolingo",5,2025-05-02 02:32:43
Pengguna Google,sangat bagus dan berguna 👍👍👍👍,5,2024-08-14 13:21:39
Pengguna Google,seru main nya aku suka karena kayak game jadi seru dan kita di ajar dari paling dasar jadi gak bingung kalau langsung di kasih tes☺️🙂,5,2024-11-18 09:48:43
Pengguna Google,senang belajar bersama duolingo,5,2024-07-09 12:02:24
Pengguna Google,Sangat mengasyikkan,5,2024-12-13 06:18:31
Pengguna Google,sangat bagus untuk mengasah kemampuan berbahasa Inggris dengan cara yang menyenangkan,5,2025-01-03 12:47:27
Pengguna Google,Nice!!!,5,2025-03-06 21:35:20
Pengguna Google,good,5,2024-09-10 00:19:30
Pengguna Google,bagus,5,2024-12-20 08:08:17
Pengguna Google,Game nya bagus tapi foto profile nya ga bisa di ganti jadi karangter maap kalo salah ketik,3,2024-04-11 11:31:26
Pengguna Google,sangat membantuuu!!,5,2024-04-08 01:05:16
Pengguna Google,keren sekali 😍,5,2024-10-02 15:57:25
Pengguna Google,sumpah baguss Banget aku belajar di sekolah malah gak paham pake duolingo lebih paham!!! ✨✨✨💖💖,5,2024-11-13 12:13:58
Pengguna Google,Duo what happened to you 😭😭😭,1,2024-08-27 12:00:33
Pengguna Google,aplikasi nya bagus bangat gak lecet,5,2025-03-13 03:59:20
Pengguna Google,aplikasi yang sangat keren,5,2025-04-02 18:09:05
Pengguna Google,baik dan bagus,4,2024-11-30 08:04:46
Pengguna Google,bagus saya jadi bisa bahasa Inggris,5,2024-03-16 02:35:56
Pengguna Google,good,5,2024-02-23 23:42:36
Pengguna Google,this app is pretty nice to learning,5,2025-04-05 00:54:21
Pengguna Google,keren sy jadi bisa b. Inggris,4,2024-09-22 01:02:23
Pengguna Google,bagus bgtt aplikasii nyaa membantu dalam bahasa asingg,5,2024-03-13 21:38:36
Pengguna Google,aplikasinya bagus banget,5,2025-02-14 11:23:12
Pengguna Google,seru dan mudah di fahami,5,2024-12-22 01:13:03
Pengguna Google,bagus,5,2024-10-21 00:31:28
Pengguna Google,❤️‍🔥❤️‍🔥,5,2025-01-17 14:47:02
Pengguna Google,seru,5,2024-12-07 12:31:28
Pengguna Google,ini sangat bagus untuk anak anak belajar ☺️,5,2025-04-11 13:44:51
Pengguna Google,saya suka belajar,5,2025-01-18 11:42:40
Pengguna Google,game ini sangat bagus untuk belajar bahasa ingris untuk anak²,4,2024-11-13 03:19:43
Pengguna Google,cocok buat yang pemula sampai expert,5,2025-03-29 00:04:05
Pengguna Google,Is god 👍,5,2024-04-03 05:20:46
Pengguna Google,asyik seru ayuk download yahaayy,4,2024-10-17 15:13:23
Pengguna Google,karna membuat orang pintar,5,2025-05-09 02:20:11
Pengguna Google,2 november 2024. Ga ada dark mode nya :( silau mennnnnn balikin lah darkmode nya wkwk,3,2024-11-02 14:49:36
Pengguna Google,saya sngat ska,5,2024-10-31 23:05:22
Pengguna Google,SAYA BISA BELAJAR BAHASA RUSIA SEDIKIT SEDIKIT TAPI INI APLIKASI WORT IT BANGET LOH REK YOK COLL!!!!,5,2024-11-14 15:16:31
Pengguna Google,sangat bagus belajar bahasa asing,5,2024-02-16 08:59:09
Pengguna Google,"keren banget nih,yang tadi nya ga bisa bahasa inggris,jadi bisa",5,2024-07-02 17:43:23
Pengguna Google,sangat bermanfaat,5,2024-11-01 08:24:19
Pengguna Google,cocok untuk sepupu saya,5,2025-02-26 17:15:59
Pengguna Google,bagus sekali,5,2024-06-07 11:31:37
Pengguna Google,bisa membuat para pelajar lebihh memahami Language🤍✨,5,2024-03-05 10:06:11
Pengguna Google,"Aplikasi ini membuat saya pintar berbahasa! dan ini membuat saya bersemangat untuk belajar 😆. Terima kasih Duolingo, sebagai ucapan terima kasih, saya akan memberi mu rating tertinggi 🥳🌟🌟🌟🌟🌟",5,2024-09-13 23:48:49
Pengguna Google,seru banget untuk pemula,5,2024-11-25 11:28:04
Pengguna Google,Bagus bgt gem nya seru,5,2024-03-17 12:52:21
Pengguna Google,sangat memuaskan dan mudah di pahami.,5,2024-07-30 14:36:04
Pengguna Google,duolingo sangat keren sangat bagus untuk yang mau belajar berbagai bahasa . saya sangat menyukainya 💖👍,5,2024-05-28 12:09:28
Pengguna Google,bagus,5,2025-02-28 00:58:26
Pengguna Google,"aplikasinya bagus untuk pemula, belajarnya menyenangkan, semoga kedepannya duolingo terus berkembang👍",5,2024-04-23 10:04:33
Pengguna Google,menyenangkan anjay,5,2025-05-06 02:45:56
Pengguna Google,sangatlah baik untuk pemahaman bahasa asing,5,2024-10-14 00:43:38
