userName,content,score,at
Pengguna Google,la respon,2,2022-10-01 10:24:14
Pengguna Google,"Bagi siapa saja yang membutuhkan sewa kos kosan,solusinya di Mamikos-cari &sewa kos sangat mudah dan sangat murah, dengan mami kos mempermudah kami yang mempunyai kosan untuk mencari orang yang akan ngekos,pokoknya rekomended banget deh ngekos di sini.terimakasih mamikos.ibu kosannya juga sangat baik sekali di Jamin betah.",5,2023-02-03 21:54:33
Pengguna Google,bagus..,5,2023-07-15 10:26:55
Pengguna Google,Aplikasi yang sangat membantu👍👍👍👍,5,2021-02-28 10:26:00
Pengguna Google,Gandosss,5,2016-04-09 01:46:30
Pengguna Google,Aplikasi yang sangat bagus sangat membantu bagi saya sebagai anak kosan yang membutuhkan tempat tinggal terimakasih buat aplikasi ini,5,2022-06-04 23:49:26
Pengguna Google,bagus,5,2019-07-08 01:57:14
Pengguna Google,sangat bermanfaat,5,2019-05-02 22:12:56
Pengguna Google,"Baru Pasang kost sekitar 2mingguan udah njeprahhh bangett..penipuann..nanya nanya kost, ujungnya mau nipu, Sia sia bayar perbulannya kalau cuma ngelayanin chat nya para penipu..",2,2023-10-30 14:12:03
Pengguna Google,"Awalnya ragu untuk cari kost ditempat yg gak aku kenal, tapi semenjak aku Download Mamikos di playstore, informasi nya real dan sangat membantu banget! banget! untuk para mahasiswa terutama mahasiswa baru untuk cari kost-kost an. Banyak review bagus dan juga ada banyak artikel membantu didalamnya bagi maba-maba, ada juga loker di Mamikos bagi mahasiswa yg ingin dapat uang tambahan. Mamikos the best, easy and safe for students. 😉 thank you Mamikos",5,2019-04-21 03:26:38
Pengguna Google,"Memudahkan pencarian, sebaiknya dipersering updatenya. Supaya info lebih 
valid",4,2018-07-06 01:51:53
Pengguna Google,sangat membantu sekali buat pemilik kost.tapi kalau boheh saran mami ads nya diadakan dengan harga 50 rb an.kalau ga chat gratis mingguannya di tambahin.,5,2025-04-20 11:40:50
Pengguna Google,"Aneh sekali saya tidak bisa mencari kosan saya di pencarian, apakah harus ikut goldplus dulu ??",1,2023-12-31 00:50:37
Pengguna Google,Aplikasi ini sangat membantu utk mencari kos kosan yang terjangkau,5,2022-06-20 05:14:16
Pengguna Google,Coba dulu,3,2018-04-06 09:44:22
Pengguna Google,"Min, kalo bisa review kost disamain kaya review google play store. Bisa d edit reviewnya",5,2023-12-18 01:45:51
Pengguna Google,Chatnya ko ga dibales si sama kost annya,3,2021-05-18 15:14:24
Pengguna Google,Bagus,5,2023-06-04 18:35:02
Pengguna Google,Tolonglah Fitur Limit Chat nya di hapus saja atau kasih optional hubungi lewat WhatsApp/Email.,3,2023-09-18 05:49:05
Pengguna Google,Gak lengkap mau cari daerah gedangan sidoarjo.aja gak adai padahal. Secara fisik.banyak.banget disini,1,2016-09-05 06:44:03
Pengguna Google,Adanya aplikasi ini sekarang mencari kos-kosan sangat gampang untuk mencari tempat yang sesuai kriteria... Terima kasih telah memudahkan saya.. semoga aplikasi rating naik.... Untuk yang punya kos tolong diiklankan di mamikos biar cepet dapet pelanggan dijamin cepat dan praktis..,5,2022-12-21 10:44:56
Pengguna Google,"WOOII ALAMAT KOSAN DI MAMIKOS TIDAK SESUAI DENGAN KENYATAAN, PIKIR DONG KOSAN DIMANA NGASIH ALAMATNYA MALAH GK SESUAI, JIJIK GW SMPE MUTERRRR MUTERRRRR UDAH GW HUBUNGIN PEMILIK KOS TP KAYAK YG GAK BUTUH UANG GITU, GAK DI ANGKAT GAK DI BALAS GW TUNGGU BEEHARI HARI UTK DI BALAS TP TDK ADA BALASAN APA APA, PADAHAL TERTERA ADA KAMAR KOSONG, SUSAH BNGET DI CARI ALAMATNYA, NANYA WARGA SEKITAR WARGA PUN BINGUNGGGG!!!! KESAL GW KASIH BINTANG 1 MAMPUS!!! GW UNINSTALL!!!",1,2021-01-24 00:19:22
Pengguna Google,"Sebagai pemilik kos, aplikasi ini sangat memberatkan. Untuk membals chat saja harus membayar. Lebih baik pakai aplikasi lain saja",1,2023-01-29 06:03:56
Pengguna Google,Bayak membantu dan promisinya bagus,5,2020-10-27 18:09:45
Pengguna Google,Good,4,2020-06-04 05:19:25
Pengguna Google,bagus aplikasinya.,5,2025-04-13 09:05:25
Pengguna Google,Kesel banget.. maintance mulu,4,2020-05-09 21:58:56
Pengguna Google,Sangat membantu,5,2016-06-04 20:33:40
Pengguna Google,Aplikasi yang sangat membantu untuk mahasiswa atau pekerja mendapatkan informasi tempat kos atau sewa yang sesuai dengan jarak dan biaya yang diinginkan oleh orang yang mencari tempat kos atau sewa,5,2023-06-07 06:46:21
Pengguna Google,Kalau bisa diperluas lagi daerahnya,5,2016-07-09 04:48:02
Pengguna Google,Like,5,2019-08-21 13:44:08
Pengguna Google,sip,4,2019-08-01 15:52:58
Pengguna Google,terbaik,5,2019-03-05 14:25:45
Pengguna Google,"Untuk Daerah Purwokerto,Cilacap,Sumpiuh,Kebumen,Di tambah donk lebih lenkap",5,2018-12-09 16:40:03
Pengguna Google,Juosss,5,2021-02-09 14:40:00
Pengguna Google,"KOYOK TAEK , OJOK DIDOWNLOAD",1,2020-01-14 06:15:23
Pengguna Google,wah applikasinya mudah digunakan dan sangat membantu untuk mencari kost,5,2020-02-18 13:14:35
Pengguna Google,nice,5,2019-04-12 05:31:16
Pengguna Google,"Aplikasi mamikos ini sangat bagus menurut aku karna menyediakan kos"" yg baik dan harganya yah lumayan terjangkau, kalau untuk pelajar mahasiswa cocok banget deh cari kos""an di aplikasi mamikos ini, dan bisa di cari juga kos""an terdekat dari lokasi kita.",5,2022-06-02 05:54:23
Pengguna Google,Terima kost di kota malang,5,2019-07-28 02:49:48
Pengguna Google,Top dah,4,2016-04-18 01:50:09
Pengguna Google,keren gampang,4,2019-03-29 15:20:07
Pengguna Google,Mudah dan detail,5,2019-09-24 02:41:05
Pengguna Google,Ok sih,4,2023-06-28 14:51:15
Pengguna Google,Bagus saya suka😊,5,2019-09-19 22:33:04
Pengguna Google,"Aplikasi Mamikos emang mantull.. memudahkan kita cari kos2 an, gak perlu ribet, bisa survey jga.. harga ok mantap.. Recomendedd bangetlah.. apalagi untuk kita2 yang waktunya tidak banyak untuk muter2 dan tanya2 orang.. mantaaapp",5,2022-06-02 23:49:29
Pengguna Google,Ya lumayan lah... Tapi harusnya ada kontak yg bisa dihubungi langsung,5,2017-10-20 03:50:45
Pengguna Google,Memudahkan cari tempat kos,4,2018-07-30 00:05:21
Pengguna Google,"Thanks membantu banget pas bingung nyari kos""an jadi gampang, ga ribet mantap",5,2020-02-13 05:16:33
Pengguna Google,Sangat membantu bagi para petantau,5,2017-10-30 19:25:11
Pengguna Google,Mantab,5,2019-10-31 05:14:26
Pengguna Google,Aplikasi Mamikos sangat memudahkan bagi anak sekolah atw mahasiswa yg ingin mencari kos dengan harga terjangkau...,5,2022-06-03 01:20:48
Pengguna Google,Aplikasinya ngak bisa terbuka padahal koneksi saya stabil dan aplikasi yg saya gunakan versi terbaru... Tolong di perbaiki,1,2021-02-22 09:40:40
Pengguna Google,Lemot,1,2024-07-01 09:51:06
Pengguna Google,Sy kecewa dengan aplikasi ini. sy booking kos di bubu canggu guesthouse. Di nota aplikasi ini di jelaskan klo sy booking kos selama 2 bulan. beberapa hari kemudian sy di tlp klo bookingan sy hanya berlaku untuk 1 bulan. Ketika sy protes mereka mengatakan klo sy harus mengabaikan apa yg ada di aplikasi. Itu namanya pembohongan publick. Sy kesal dan benar2 kecewa.,1,2021-03-15 07:39:53
Pengguna Google,"Aplikasi tidak membantu , bertanya alamat kos tapi tidak dijawab Admin/CS, tanya nomor pemilik kos atau pengelola kos yg bisa dihubungi juga tidak dijawab Admin/CS trs gunanya apa. Aplikasinya Sistem ANEH jawabannya tidak menjawab pertanyaan... Tunggu konfirmasi pemilik bagaimana klo tanya nomor telpon/WA tidak dijawab Admin/CS. MENYESAL DOWNLOAD APLIKASINYA. SISTEM MENCARI UANG SEMATA TAPI TAK MEMBANTU PEMILIK DAN PENCARI KOS YANG TELAH DOWNLOAD. LEBIH BAIK UNINSTALL SAJA.",1,2023-01-19 14:02:32
Pengguna Google,"Pertamakali tahu aplikasi ini dari teman kos saya di Jakarta, setelah saya download dan amati ternyata fitur yang terdapat didalamnya cukup lengkap guna pencarian info baik itu lokasi, fasilitas, area lingkungan, transportasi, harga maupun jumlah ketersediaan kamar. Jadi buat siapapun yang hidup sebagai orang rantau sepertinya sangat butuh aplikasi ini, karena info kosnya tersebar dibeberapa kota besar maupun kecil sehingga memudahkan menemukan tempat kos yang nyaman tapi terjangkau.",5,2023-06-06 15:45:21
Pengguna Google,Aplikasi yang sangat bermanfaat dan di rekomendasikan buat para calon mahasiswa/wi ...sukses terus aplikasinya 👍👍,5,2022-06-26 01:43:01
Pengguna Google,good,5,2021-06-27 22:37:43
Pengguna Google,Sip,5,2017-12-08 12:28:14
Pengguna Google,Tolong dong kalau kost penuh nggak perlu ditampilin. Bikin ribet doang,1,2019-01-27 05:27:40
Pengguna Google,Kalo mau cari kost disini tempatnya lokasinya enak bersih dan nyaman,5,2023-02-04 12:32:20
Pengguna Google,Kok kos di sumbar gak ada?,1,2016-08-19 17:48:28
Pengguna Google,"Sistem chat room di aplikasi malah bikin ga efektif, ga ada satupun dr pemilik kos yg menjawab, lebih baik dikembalikan lg seperti awal yg langsung direct ke WhatsApp pemilik kosan",1,2019-10-30 12:34:28
Pengguna Google,Sangat membantu pemilik kost dalam mempromosikan kost²annya,5,2019-10-09 05:57:38
Pengguna Google,"pake aplikasi mamikos jadi gabingung lagi cari cari kosan buat pasutri, gampang gausah panas panasan lagi cari door to door sana sini, mantap..",5,2022-06-17 09:18:34
Pengguna Google,Sip,5,2018-04-23 08:42:54
Pengguna Google,"Sangat bagus buat yng sedang merantau sangat membantu sekali,pokoknya the best",5,2022-06-05 00:32:47
Pengguna Google,"Sangat membantu dalam pencarian kost""an",5,2018-06-20 15:25:37
Pengguna Google,Terbantu sekali .. Hanya saja harga tidak sesuai dengan yang tertera,4,2018-04-14 02:33:34
Pengguna Google,"APLIKASI INI GA GUNAAA. BANYAK PENIPU NY. GATAU KNPA BISA MASUKK, HARUS TETEP PILIH PILIH LAGIII. KARNA BNYK PENIPU NYA!",1,2023-11-03 10:35:45
Pengguna Google,Bagud,5,2019-08-24 14:55:58
Pengguna Google,"app Mamikos mmang mantul👍🏻👍🏻 mau kuliah jdi lebih mudah. mulai dari cari kos, apartemen, barang dan jasa, srta lowngan kerja. smua informasinya lngkap dan akurat. apalagi fitur cari kosnya, paling ska bnget. difitur ini bsa cari kos dkat kampus mulai dari hrga terendah smpai yg tinggi. fitur ini jga dilengkapi dgn informasi fsilitas dlm kos, kosnya dkat apa, gmbar kos dan fsilitasnya gimna, bhkan ad fitur review dari bbrapa planggan kos, jga ad info kntak pmilik. nggk nyesel download pkonya!",5,2019-04-11 14:34:54
Pengguna Google,sangat mambantu,5,2021-11-14 05:30:11
Pengguna Google,terimkasih telah memudahkan para perantau😂😂😂,5,2017-09-19 05:11:12
Pengguna Google,"Kenapa baru sekarang bertemu sama mami kos ya?? Aplikasinya mudah digunakan,simple,keterangan setiap informasinya juga mudah dipahami.apalagi buat saya yang masih pindah-pindah cari kos2 an karena pekerjaan juga pindah-pindah lokasi.mudah banget tinggal klik2,dan pastinya di app mami kos ini banyak banget pilihan kamar kos,mulai dari harga termurah sampai harga yg mahal,tapi sesuai dengan fasilitasnya yaa...thanks mami kos...sukses terus kedepannya ..",5,2023-06-07 12:49:20
Pengguna Google,Sangat membantu,5,2020-07-02 08:11:44
Pengguna Google,Banyak yang melihat kosan nya,5,2021-12-06 11:09:48
Pengguna Google,"Mantap nih aplikasi Mamikos, sangat merpermudahkan kita dalam mencari Sewa rumah atau kos, egk perlu pusing2 lgi dah",5,2022-06-13 16:25:32
Pengguna Google,"Pake aplikasi mamikos ga pernah mengecewakan, gampang cari lokasi kosan dimana saja, dan Info nya lengkap, info harga serta fasilitas kamarnya lengkap, jadi bisa punya beberapa pilihan",5,2022-06-10 13:20:15
Pengguna Google,Chat history ga bisa di hapus?,2,2021-07-15 21:30:40
Pengguna Google,"apk yanh sangat membantu salam mencari kos, cocok buat yang sedang cari kosan",5,2020-01-31 09:35:44
Pengguna Google,"Buat yg nyari kost jdi mami ribet dan ruwet, gak segampang dlu, terlalu kapitalis",1,2024-02-06 08:43:02
Pengguna Google,"susah bgt mau ngehubungin csnya,klo lagi ada kendala jdi bingung mau nanya kemna . jawabnya otomatis semua",4,2024-08-02 04:22:47
Pengguna Google,Mamikos solusi tepat untuk memilih dan mencari kos-kosan tanpa perlu capek-capek keliling kompleks.Bisa memilih dan mencari kos-kosan sesuai kriteria dan harga yg diminati.Sangat cocok buat anak kuliahan dan karyawan seperti saya.Banyak pilihan kos-kosan menyesuaikan dengan daerah atau tempat yang akan kita tempati. sangat recommended.,5,2023-06-07 06:48:22
Pengguna Google,Bermanfaat,4,2017-11-21 10:26:07
Pengguna Google,"TOLONG donk, gimana cara pesen nya? Gak ada no pemilik.. tinggal chat room boot doank.. Pas kita nanya mah, gak di respon..",2,2019-09-07 09:49:29
Pengguna Google,Makin lemot,1,2021-12-03 12:16:32
Pengguna Google,Aplikasi ini mempermudah untuk mencari tempat kos tanpa harus ribet survei tempat langsung.. apa lagi untuk anak perantauan. Mantap,4,2022-06-15 02:55:28
Pengguna Google,"Bagi yang mencari kost'an disini saja di Mamikos tempatnya bersih,nyaman,harga juga terjangkau ,tempatnya juga aman.",5,2023-02-04 00:18:14
Pengguna Google,Tiga bintang dlu ya soal nya belum banyak kost yg terdaftar,3,2017-06-16 13:24:50
Pengguna Google,Bagus sekali,5,2021-12-06 15:38:47
Pengguna Google,Good,5,2018-02-24 01:14:17
Pengguna Google,Bagus,5,2019-09-07 08:06:24
Pengguna Google,"Mantul dan sangat bagus sekali aplikasi Mamikost,.. Lebih mudah, efektif dan efesien untuk mencari kos2an dipadatnya perkotaan/ibu kota yg kita inginkan, 👏👏👍 Sedikit saran Tampilan agar diupgrade lebih menarik lagi😇👌",5,2019-04-10 07:49:00
Pengguna Google,"APK sangat membantu dan Bagus,Terima kasih Mamikos",5,2021-03-12 14:31:02
Pengguna Google,"Sangat membantu sekali dalam mencari kost atau hunian yang pas untuk kantong saya, mantap.",5,2019-07-01 19:44:30
Pengguna Google,Terimakasih saya dapat kosan murah berkat bantuan app ini,5,2018-05-30 17:03:34
Pengguna Google,hehe,4,2019-11-12 07:58:39
Pengguna Google,sangat membantu..makasii,5,2018-04-19 09:24:09
Pengguna Google,I hope this more fast,4,2017-01-19 13:22:02
Pengguna Google,good aplication,5,2019-01-09 08:25:56
Pengguna Google,bagus,5,2025-04-23 14:14:02
Pengguna Google,"SELAMAT SIANG! SAYA KECEWA DENGAN SEMUA PEMILIK KOST. di iklan masih ada yg kosong,harga sudah tertera. sampai di lokasi. semua sudah full dan harga sangat berbeda.harusnya kalau iklan tdk diupdate selama 1minggu, mamikos harus menghapus iklannya!! sy sdh mghabiskan wkatu, tenaga dan uang!!! TOLONG DIPERKETAT UTK PIHAK PEMILIK KOST!!! SANGAT KECEWA!!!!!",1,2019-08-03 05:08:15
Pengguna Google,Aplikasi anjing knpa sih gak nyantumin no hp,1,2019-12-21 03:36:40
